#Name;Nintendo 64 Games;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - GoldenEye (USA);007 - 골든아이 (미국판);n64;;;;;;;;;;;;;;
f-zero x (usa);F-제로 X (미국판);n64;;;;;;;;;;;;;;
flying dragon (usa);SD 비룡의 권 (미국판);n64;;;;;;;;;;;;;;
Goemon's Great Adventure (USA);고에몽의 대모험 (미국판);n64;;;;;;;;;;;;;;
Nagano Winter Olympics '98 (USA);나가노 동계 올림픽 '98 (미국판);n64;;;;;;;;;;;;;;
nightmare creatures (usa);나이트매어 크리처스 (미국판);n64;;;;;;;;;;;;;;
Dance Dance Revolution - Disney Dancing Museum (Japan);댄스 댄스 레볼루션 - 디즈니 댄싱 뮤지엄 (일본판);n64;;;;;;;;;;;;;;
Deadly Arts (USA);데들리 아츠 (미국판);n64;;;;;;;;;;;;;;
Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It);도널드 덕 - 고잉 케이커 (미국판);n64;;;;;;;;;;;;;;
Donkey Kong 64 (USA);동키콩 64 (미국판);n64;;;;;;;;;;;;;;
Diddy Kong Racing (USA) (En,Fr) (Rev A);디디콩 레이싱 (미국판);n64;;;;;;;;;;;;;;
Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It);레이맨 2 - 대탈출 (미국판) (en,fr,de,es,it);n64;;;;;;;;;;;;;;
Resident Evil 2 (USA) (Rev A);레지던트 이블 2 (미국판);n64;;;;;;;;;;;;;;
Road Rash 64 (USA);로드 러시 64 (미국판);n64;;;;;;;;;;;;;;
RR64 - Ridge Racer 64 (USA);릿지 레이서 64 (미국판);n64;;;;;;;;;;;;;;
Super Mario 64 (USA);마리오 64 (미국판);n64;;;;;;;;;;;;;;
Mario Golf (USA);마리오 골프 (미국판);n64;;;;;;;;;;;;;;
Mario Story (Japan);마리오 스토리 (일본판);n64;;;;;;;;;;;;;;
Mario Kart 64 (USA);마리오 카트 64 (미국판);n64;;;;;;;;;;;;;;
Mario Tennis (USA);마리오 테니스 (미국판);n64;;;;;;;;;;;;;;
Mario Party 2 (USA);마리오 파티 2 (미국판);n64;;;;;;;;;;;;;;
Mario Party 3 (USA);마리오 파티 3 (미국판);n64;;;;;;;;;;;;;;
robotech - crystal dreams (usa) (proto);마크로스 - 크리스탈 드림 (미국판) (프로토타입);n64;;;;;;;;;;;;;;
Mega Man 64 (USA);메가맨 64 (미국판);n64;;;;;;;;;;;;;;
Mortal Kombat 4 (USA);모탈 컴뱃 4 (미국판);n64;;;;;;;;;;;;;;
Monster Truck Madness 64 (USA);몬스터 트럭 매드니스 64 (미국판);n64;;;;;;;;;;;;;;
Mickey's Speedway USA (USA);미키의 스피드웨이 USA (미국판);n64;;;;;;;;;;;;;;
Banjo-Kazooie (USA) (Rev A);반조와 카주이의 대모험 (미국판);n64;;;;;;;;;;;;;;
Banjo-Tooie (USA);반조와 카주이의 대모험 2 (미국판);n64;;;;;;;;;;;;;;
Virtual Pool 64 (USA);버추얼 당구 64 (미국판);n64;;;;;;;;;;;;;;
Virtual Chess 64 (USA) (En,Fr,Es);버추얼 체스 64 (미국판) (en,fr,es);n64;;;;;;;;;;;;;;
Kirby 64 - The Crystal Shards (USA);별의 커비 64 (미국판);n64;;;;;;;;;;;;;;
Blast Corps (USA);불도저 (미국판);n64;;;;;;;;;;;;;;
South Park (USA);사우스 파크 (미국판);n64;;;;;;;;;;;;;;
shadow man (usa);쉐도우맨 (미국판);n64;;;;;;;;;;;;;;
